iter	Passed	Remaining
0	139	139430
1	143	71363
2	145	48285
3	147	36618
4	148	29610
5	150	25014
6	153	21747
7	154	19191
8	156	17222
9	158	15705
10	160	14424
11	162	13397
12	165	12589
13	169	11924
14	170	11226
15	175	10792
16	178	10297
17	182	9938
18	184	9531
19	186	9126
20	188	8778
21	190	8451
22	194	8243
23	195	7967
24	197	7705
25	200	7515
26	202	7290
27	203	7079
28	210	7040
29	212	6880
30	214	6697
31	215	6528
32	218	6402
33	220	6272
34	223	6160
35	225	6028
36	227	5917
37	229	5798
38	231	5697
39	234	5624
40	240	5617
41	242	5520
42	243	5426
43	245	5334
44	251	5345
45	255	5301
46	257	5214
47	258	5133
48	261	5075
49	264	5022
50	267	4980
51	269	4917
52	271	4858
53	274	4801
54	278	4789
55	281	4738
56	282	4678
57	285	4642
58	288	4596
59	292	4575
60	293	4519
61	295	4463
62	298	4442
63	301	4406
64	303	4362
65	305	4320
66	307	4278
67	308	4229
68	310	4189
69	312	4151
70	315	4128
71	317	4089
72	318	4049
73	320	4011
74	322	3972
75	324	3943
76	327	3923
77	328	3888
78	330	3853
79	333	3833
80	334	3798
81	336	3764
82	336	3722
83	338	3690
84	343	3697
85	345	3668
86	347	3645
87	348	3615
88	350	3590
89	352	3560
90	353	3530
91	357	3524
92	359	3503
93	364	3516
94	366	3489
95	368	3465
96	371	3460
97	373	3437
98	375	3413
99	377	3398
100	378	3373
101	380	3348
102	381	3325
103	383	3302
104	387	3303
105	389	3281
106	390	3262
107	392	3241
108	393	3220
109	395	3203
110	397	3182
111	398	3161
112	401	3153
113	403	3135
114	405	3117
115	406	3098
116	407	3077
117	409	3058
118	410	3039
119	411	3020
120	416	3023
121	417	3006
122	419	2988
123	420	2972
124	422	2957
125	423	2940
126	425	2921
127	426	2905
128	427	2888
129	431	2887
130	433	2872
131	434	2857
132	435	2841
133	437	2826
134	439	2813
135	440	2801
136	442	2786
137	445	2785
138	447	2772
139	449	2760
140	450	2746
141	451	2729
142	453	2716
143	454	2703
144	456	2689
145	461	2697
146	462	2685
147	464	2673
148	466	2665
149	468	2657
150	470	2644
151	471	2631
152	475	2631
153	477	2620
154	478	2608
155	479	2596
156	481	2584
157	483	2574
158	484	2564
159	486	2552
160	487	2538
161	489	2530
162	491	2521
163	492	2511
164	494	2500
165	495	2490
166	497	2479
167	498	2469
168	500	2462
169	503	2458
170	505	2448
